group,perm,perm_std,perm_norm,shap
plate_x,2.3426645278930662,0.018816791826872462,0.19180312892650103,3.39774751663208
plate_z,0.786956787109375,0.003969243969049765,0.06443123729426033,1.4944384098052979
stand,0.7169572830200195,0.01290110604555675,0.05870010347301409,0.8625897169113159
pfx_x,0.23244247436523438,0.004640677396564486,0.01903097662846629,0.6078532934188843
pitch_type,0.161444091796875,0.005028451134056848,0.013218060710206536,1.206091284751892
release_pos_x,0.15070877075195313,0.0026835908322773053,0.012339117890212416,0.36825042963027954
pfx_z,0.11820049285888672,0.0036249824594121348,0.009677537735793074,0.22597946226596832
count,0.07612285614013672,0.0025703972255644155,0.0062324766592302275,0.9927477836608887
release_speed,0.07393569946289062,0.0008525010735583983,0.006053405567678941,0.22018754482269287
effective_speed,0.05722827911376953,0.0023976091087328302,0.00468550356502481,0.28595760464668274
spin_axis,0.04987010955810547,0.0016875154899619153,0.004083061377018747,0.2507965564727783
p_throws,0.018860244750976564,0.0012895574937853002,0.0015441621762251935,0.09081532061100006
release_pos_z,0.012846946716308594,0.0007448353930577029,0.001051829891988915,0.10152741521596909
release_pos_y,0.007844161987304688,0.0005582452664249691,0.0006422322936372373,0.13193419575691223
release_extension,0.007480812072753906,0.00045658014204794887,0.000612483411679864,0.10279738903045654
release_spin_rate,0.0064544677734375,0.0008882649752325203,0.00052845258028216,0.08625207841396332
