group,verdict,frozen_in,best_head,best_perm_norm,norm_ev,norm_la,norm_spray,norm_swing,norm_whiff
effective_speed,flag,False,spray,0.008127389490436773,0.00468550356502481,0.008074374789012571,0.008127389490436773,0.002392454780788405,0.0033059093564942
release_pos_z,flag,False,whiff,0.007510552020030287,0.001051829891988915,0.003488185428429442,0.001355950101138744,0.0014786498104467534,0.007510552020030287
spin_axis,flag,False,whiff,0.005412347117820064,0.004083061377018747,0.003314208635959937,0.001373554298024822,0.001243058114171893,0.005412347117820064
release_spin_rate,flag,False,la,0.0018989810303285826,0.00052845258028216,0.0018989810303285826,0.0006939070622217279,0.00045515149279756246,0.0015292365142729857
release_pos_y,flag,False,ev,0.0006422322936372373,0.0006422322936372373,0.00034864902847986184,0.0003622735941244961,0.00042452577067965267,0.00040229053705206436
release_extension,flag,False,spray,0.0006368250624561186,0.000612483411679864,0.00010583781387322933,0.0006368250624561186,0.000295498271843763,0.0002457160290285424
plate_x,keep,False,swing,0.7718810331840352,0.19180312892650103,0.034967089583269946,0.06609539126537245,0.7718810331840352,0.08501186152931707
plate_z,keep,False,swing,0.6826084912877144,0.06443123729426033,0.04869963648586583,0.023225087446393122,0.6826084912877144,0.31972791697673575
count,keep,True,swing,0.30729149176161413,0.0062324766592302275,0.005331719324782275,0.003842539353456339,0.30729149176161413,0.041973887364247425
pfx_x,keep,False,swing,0.1356224950988858,0.01903097662846629,0.017073776417799297,0.0023271268221571233,0.1356224950988858,0.008122295777137186
pfx_z,keep,False,la,0.10472103296547268,0.009677537735793074,0.10472103296547268,0.00534504403788759,0.08724029886976438,0.019018518949604594
stand,keep,True,spray,0.06330491970415557,0.05870010347301409,0.030326134043844818,0.06330491970415557,0.01938295295076835,0.020280958946499863
pitch_type,keep,False,whiff,0.040588814630077366,0.013218060710206536,0.010739517275252207,0.00855757515209592,0.015105072192150574,0.040588814630077366
release_speed,keep,False,la,0.027155621429513176,0.006053405567678941,0.027155621429513176,0.011139372227507986,0.003977588895485995,0.012670888999282322
release_pos_x,keep,False,ev,0.012339117890212416,0.012339117890212416,0.002823732590367817,0.0016546806563818024,0.002167515509598035,0.007841668602571834
p_throws,keep,True,swing,0.01079773747817418,0.0015441621762251935,0.0006725373692240154,0.00046974885272082687,0.01079773747817418,0.0008900635466133083
